"","primerid","component","contrast","Pr(>Chisq)","ci.hi","ci.lo","coef","z"
"202","p016","H","conditionphil",5.85730371483957e-07,NA,NA,NA,NA
"203","p016","H","conditionspeech",0.166684783523053,NA,NA,NA,NA
"204","p016","S","conditionphil",NA,NA,NA,NA,-5.36743646943675
"205","p016","S","conditionspeech",NA,NA,NA,NA,-1.81104876698766
"206","p016","S","(Intercept)",NA,NA,NA,NA,82.2309829230392
"207","p016","logFC","conditionphil",NA,-0.0202250511541566,-0.0446589048174453,-0.032441977985801,-5.20467293580842
"208","p016","logFC","conditionspeech",NA,0.00203693033099608,-0.0248090831181607,-0.0113860763935823,-1.66254104721414
"209","p017","C","conditionphil",5.89451255181896e-41,0.108469093972608,0.0809990214224816,0.0947340576975448,13.518372829756
"210","p017","C","conditionspeech",0,0.336049641423815,0.306661399074997,0.321355520249406,42.8637574473582
"211","p017","C","(Intercept)",NA,0.344613151637237,0.328745643855132,0.336679397746184,83.1736783092531
"212","p017","D","conditionphil",6.13735306238088e-15,1.0086988456041,0.581493946420817,0.795096396012459,7.29561062338581
"213","p017","D","conditionspeech",3.01203953458229e-33,1.96910942136029,1.3089292640545,1.63901934270739,9.7319461850564
"214","p017","D","(Intercept)",NA,2.04326055456157,1.85436735520868,1.94881395488512,40.4419553189763
"215","p017","H","conditionphil",6.06903927616181e-53,NA,NA,NA,NA
"216","p017","H","conditionspeech",0,NA,NA,NA,NA
"217","p017","S","conditionphil",NA,NA,NA,NA,14.7177088432212
"218","p017","S","conditionspeech",NA,NA,NA,NA,37.1907786997583
"219","p017","S","(Intercept)",NA,NA,NA,NA,87.4094527991928
"220","p017","logFC","conditionphil",NA,0.124543178463507,0.0967392390626122,0.11064120876306,15.5987093235135
"221","p017","logFC","conditionspeech",NA,0.360946935153815,0.330299878803266,0.345623406978541,44.2071448653066
"222","p018","C","conditionphil",0.000344875482426525,0.106990949805503,0.0317374048758661,0.0693641773406847,3.61315309550154
"223","p018","C","conditionspeech",2.07288495591107e-13,0.176452114994409,0.103039270955842,0.139745692975125,7.46181485849935
"224","p018","C","(Intercept)",NA,0.19360101984455,0.124477995486188,0.159039507665369,9.01904134075694
"225","p018","D","conditionphil",1.74137837856836e-218,3.02143699840244,2.60206372565692,2.81175036202968,26.2817389721434
"226","p018","D","conditionspeech",0,4.15218828022206,3.72533261599117,3.93876044810662,36.1706743937881
"227","p018","D","(Intercept)",NA,-3.32740201505887,-3.69927554923409,-3.51333878214648,-37.034189559994
"228","p018","H","conditionphil",1.13989974171357e-219,NA,NA,NA,NA
"229","p018","H","conditionspeech",0,NA,NA,NA,NA
"230","p018","S","conditionphil",NA,NA,NA,NA,21.1388809038717
"231","p018","S","conditionspeech",NA,NA,NA,NA,30.8528290303416
"232","p018","S","(Intercept)",NA,NA,NA,NA,-19.8097012817688
"233","p018","logFC","conditionphil",NA,0.0781878762921469,0.0640219221827909,0.0711048992374689,19.6757720029243
"234","p018","logFC","conditionspeech",NA,0.18676427344186,0.165430639549941,0.176097456495901,32.3568571814487
"235","p019","C","conditionphil",0.0726195724013699,0.0363142864966868,-0.0012545342083364,0.0175298761441752,1.82906597818426
"236","p019","C","conditionspeech",0.227075384729114,0.0312937576632803,-0.00716211235028926,0.0120658226564955,1.22990731153574
"237","p019","C","(Intercept)",NA,0.106276541114067,0.0842731638546863,0.0952748524843767,16.9733288940573
"238","p019","D","conditionphil",0.204649679849337,0.314479663869905,-0.0668320007719026,0.123823831549001,1.27292329486837
"239","p019","D","conditionspeech",0.00280571052584306,0.50011511421911,0.107265021847058,0.303690068033084,3.03027341657669
"240","p019","D","(Intercept)",NA,-2.25226418500709,-2.47481356435303,-2.36353887468006,-41.6307705197619
"241","p019","H","conditionphil",0.0892926791713217,NA,NA,NA,NA
"242","p019","H","conditionspeech",0.0055475901579289,NA,NA,NA,NA
"243","p019","S","conditionphil",NA,NA,NA,NA,2.19343765014345
"244","p019","S","conditionspeech",NA,NA,NA,NA,3.01240268192854
"245","p019","S","(Intercept)",NA,NA,NA,NA,-17.4354441802472
"246","p019","logFC","conditionphil",NA,0.0051244050836257,0.000201880272430251,0.00266314267802797,2.12072622681561
"247","p019","logFC","conditionspeech",NA,0.00674002870589045,0.00114561553742915,0.0039428221216598,2.76268095444459
"248","p020","C","conditionphil",2.09144825710483e-10,-0.0437321238359357,-0.0824565155581136,-0.0630943196970247,-6.38680628594105
"249","p020","C","conditionspeech",2.63419813422882e-29,0.126272929798516,0.0890887380758966,0.107680833937206,11.3516280206665
"250","p020","C","(Intercept)",NA,0.380864015539771,0.356920117352968,0.368892066446369,60.3924355822672
"251","p020","D","conditionphil",1.1288069797468e-28,0.749237660717278,0.522230485601644,0.635734073159461,10.9777665529981
"252","p020","D","conditionspeech",3.80719763573235e-213,2.62318616948777,2.24027137981082,2.4317287746493,24.8937933293376
"253","p020","D","(Intercept)",NA,-0.0309265007008313,-0.155893969068033,-0.093410234884432,-2.93005369402145
"254","p020","H","conditionphil",2.70126427286202e-36,NA,NA,NA,NA
"255","p020","H","conditionspeech",5.56535225885867e-239,NA,NA,NA,NA
"256","p020","S","conditionphil",NA,NA,NA,NA,3.24629913699405
"257","p020","S","conditionspeech",NA,NA,NA,NA,25.6293832235516
"258","p020","S","(Intercept)",NA,NA,NA,NA,40.6320398963096
"259","p020","logFC","conditionphil",NA,0.0318045296444928,0.00326417919202482,0.0175343544182588,2.40828879863851
"260","p020","logFC","conditionspeech",NA,0.275585158348828,0.242009551294134,0.258797354821481,30.2144049945582
"261","p021","C","conditionphil",0.118191797720541,0.00590486604443748,-0.0606681171943477,-0.0273816255749551,-1.61227565159816
"262","p021","C","conditionspeech",0.697681400910022,0.0299578778705882,-0.0453341820821499,-0.00768815210578088,-0.400268002879853
"263","p021","C","(Intercept)",NA,0.168760783465663,0.131050125064074,0.149905454264868,15.5822944439964
"264","p021","D","conditionphil",0.911299479087931,0.254600655640225,-0.22707159726701,0.0137645291866075,0.112018001066367
"265","p021","D","conditionspeech",0.444284464296217,0.166559156297353,-0.37669893944484,-0.105069891573743,-0.758141314259559
"266","p021","D","(Intercept)",NA,-2.70185782624635,-2.97478714871644,-2.8383224874814,-40.7652047176656
"267","p021","H","conditionphil",0.293239670126006,NA,NA,NA,NA
"268","p021","H","conditionspeech",0.692087096786953,NA,NA,NA,NA
"269","p021","S","conditionphil",NA,NA,NA,NA,-1.06084235821803
"270","p021","S","conditionspeech",NA,NA,NA,NA,-0.819119083538956
"271","p021","S","(Intercept)",NA,NA,NA,NA,-17.8070066245239
"272","p021","logFC","conditionphil",NA,0.00107826806894536,-0.00392876701472654,-0.00142524947289059,-1.11580509789505
"273","p021","logFC","conditionspeech",NA,0.00155914199894394,-0.00389923771493585,-0.00117004785799596,-0.840268278159153
"274","p022","C","conditionphil",5.14235196775801e-05,-0.0304067853532241,-0.0868703094256102,-0.0586385473894171,-4.07092695247514
"275","p022","C","conditionspeech",1.35296413928007e-15,-0.0966430665183582,-0.158699129508416,-0.127671098013387,-8.06466739641582
"276","p022","C","(Intercept)",NA,0.331929821046801,0.313115476758949,0.322522648902875,67.1968968332583
"277","p022","D","conditionphil",1.19420155796633e-244,-1.96619683344075,-2.24311196179392,-2.10465439761733,-29.7928599550754
"278","p022","D","conditionspeech",1.31059501763467e-203,-1.92787167760401,-2.22959901390902,-2.07873534575651,-27.0061470794579
"279","p022","D","(Intercept)",NA,0.558914939511203,0.430248541131824,0.494581740321513,15.0678407206689
"280","p022","H","conditionphil",1.37790629014497e-246,NA,NA,NA,NA
"281","p022","H","conditionspeech",6.88607414108158e-216,NA,NA,NA,NA
"282","p022","S","conditionphil",NA,NA,NA,NA,-23.9453133589852
"283","p022","S","conditionspeech",NA,NA,NA,NA,-24.7988107376256
"284","p022","S","(Intercept)",NA,NA,NA,NA,58.1699537769136
"285","p022","logFC","conditionphil",NA,-0.146495776424469,-0.166281952062219,-0.156388864243344,-30.9828990818506
"286","p022","logFC","conditionspeech",NA,-0.157306860944934,-0.177055118113856,-0.167180989529395,-33.1845707268827
"287","p023","C","conditionphil",2.60657469466271e-70,-0.105564397695894,-0.131309354361614,-0.118436876028754,-18.0332027334021
